Tema Principal;Requisitos Necessários;Presente;Ausente;
Caracterização da Inovação;Inovação de configuração;;;
Caracterização da Inovação;Modelo de negócio - redefinea geração de receita da organização;1;0;
Caracterização da Inovação;Rede - maximizam valor por meio de parcerias;1;0;
Caracterização da Inovação;Estrutura - inovação na estrutura interna maximizando o valor dos ativos;1;0;
Caracterização da Inovação;Processo - inovações eu transforam as atividades internas;1;0;
Caracterização da Inovação;Total da Inovação de configuração;4;0;
Caracterização da Inovação;Inovação de oferta;;;
Caracterização da Inovação;Performance do produto - aprimoram ou criam novos produtos;1;0;
Caracterização da Inovação;Sistema de produto - foco em produtos ou serviços complementares ao principal;1;0;
Caracterização da Inovação;Total da Inovação de oferta;2;0;
Caracterização da Inovação;Inovação de experiência;;;
Caracterização da Inovação;Serviço - inovações no serviço oferecido, como atendimento ao cliente;1;0;
Caracterização da Inovação;Canal - inovações no canal utilizado para a distribuição do produto;1;0;
Caracterização da Inovação;Marca - atualizações de branding para refletir os valores da empresa;1;0;
Caracterização da Inovação;Engajamento do usuário - ferramentas para engaar usuários e criar conexões com ocliente;1;0;
Caracterização da Inovação;Total da Inovação de experiência;4;0;
Caracterização da Inovação;Tipo ;;;
Caracterização da Inovação;Produto e Processo;1;0;
Caracterização da Inovação;Serviço (marketing, organizacional, etc);1;0;
Caracterização da Inovação;Modelo de negócio;1;0;
Caracterização da Inovação;Total de Tipo;3;0;
Caracterização da Inovação;Forma;;;
Caracterização da Inovação;Adequação - não traz muitas novidades ara o mercado, mas com potencial de bom retorno a empresa;1;0;
Caracterização da Inovação;Melhorias - ajustes em processos, produtos e operações já existentes;1;0;
Caracterização da Inovação;Invenção - apresentam alto grau de novidade, mas não tem aderência no mercado e não geram receita;1;0;
Caracterização da Inovação;Inovação - aceito pelo mercado e que podem gerar receitas;1;0;
Caracterização da Inovação;Total de Forma;4;0;
Caracterização da Inovação;Grau da inovação;;;
Caracterização da Inovação;Incremental - melhoria contínua;1;0;
Caracterização da Inovação;Radical - tecnologia nova sendo usada em um mercado novo;1;0;
Caracterização da Inovação;Disruptiva - muda completamente os rumos de um mercado já existente;1;0;
Caracterização da Inovação;Arquitetônica - utilização de tecnologias que já existem aplicadas em novos mercados;1;0;
Caracterização da Inovação;Total de Grau da inovação;4;0;
Caracterização da Inovação;Modelo;;;
Caracterização da Inovação;Social;1;0;
Caracterização da Inovação;Aberto;1;0;
Caracterização da Inovação;Fechado;1;0;
Caracterização da Inovação;Sustentável;1;0;
Caracterização da Inovação;Total de Modelo;4;0;
Caracterização da Inovação;Total Geral da Caracterização da Inovação;25;0;
Metodologia e Desenvolvimento;Abordagem Metodológica ;;;
Metodologia e Desenvolvimento;Etapas de desenvolvimento bem definidos;1;0;
Metodologia e Desenvolvimento;Processos de avaliação e validação estruturados;1;0;
Metodologia e Desenvolvimento;Documentaçao Técnica;1;0;
Metodologia e Desenvolvimento;Ferramentas adequadas;1;0;
Metodologia e Desenvolvimento;Equipe capacitada;1;0;
Metodologia e Desenvolvimento;Total da Abordagem Metodológica ;5;0;
Metodologia e Desenvolvimento;Infraestrutura ;;;
Metodologia e Desenvolvimento;Laboratórios especializados e Manutenção e Calibração de Equipamentos;1;0;
Metodologia e Desenvolvimento;Equipamentos;1;0;
Metodologia e Desenvolvimento;Insumos de análise;1;0;
Metodologia e Desenvolvimento;Recursos computacionais , Biblioteca/bases de dados;1;0;
Metodologia e Desenvolvimento;Materiais de consumo específicos;1;0;
Metodologia e Desenvolvimento;Total da Infraestrutura ;5;0;
Metodologia e Desenvolvimento;Total da Metodologia e Desenvolvimento;10;0;
Recursos e Infraestrutura;Orçamento;;;
Recursos e Infraestrutura;Universidade;1;0;
Recursos e Infraestrutura;Edital de fomento;1;0;
Recursos e Infraestrutura;Parcerias-colaborações;1;0;
Recursos e Infraestrutura;P&D;1;0;
Recursos e Infraestrutura;Outras fontes;1;0;
Recursos e Infraestrutura;Total do Orçamento;5;0;
Recursos e Infraestrutura;Riscos / Plano de contingência;;;
Recursos e Infraestrutura;Cronograma / Validação prévia;1;0;
Recursos e Infraestrutura;Resultados Inesperados ou Contraditórios/Análise Crítica e Reavaliação;1;0;
Recursos e Infraestrutura;Dificuldade de Interpretação dos Dados/ Equipe técnica e reavaliação;1;0;
Recursos e Infraestrutura;Avanço Científico Rápido na Área/ Monitoramento da Literatura;1;0;
Recursos e Infraestrutura;Limitações Tecnológicas ou de Equipamentos/Planejamento Financeiro;1;0;
Recursos e Infraestrutura;Total de Riscos / Plano de contingência;5;0;
Recursos e Infraestrutura;Total Geral de Recursos e Infraestrutura;10;0;
Resultados;Validação com Usuário/Mercado;;;
Resultados;Testes com usuários;1;0;
Resultados;Validação em ambiente real;1;0;
Resultados;Estudos de aceitação;1;0;
Resultados;Análise de desempenho comparativo;1;0;
Resultados;Certificações regulamentares;1;0;
Resultados;Total de Validação com Usuário/Mercado;5;0;
Resultados;Estratégia de Transferência/Comercialização;;;
Resultados;Produção própria/ Spin-off/startup;1;0;
Resultados; Licenciamento de tecnologia;1;0;
Resultados;Segredo industrial;1;0;
Resultados;Fornecimento de tecnologia (know how);1;0;
Resultados;Ainda não definido;1;0;
Resultados;Total de Estratégia de Transferência/Comercialização;5;0;
Resultados;Impactos ;;;
Resultados;Aceitação no Mercado (primeira comercialização);1;0;
Resultados;Impacto econômico claro, bem fundamentado, com indicadores quantitativos confiáveis e metas alcançadas ou próximas.;1;0;
Resultados;Impactos sociais - potencial de gerar melhorias significativas para a sociedade, como a inclusão social, o desenvolvimento comunitário, a melhoria da saúde pública ou a educação;1;0;
Resultados;Impactos ambientais claramente positivos, mensuráveis e com estratégias efetivas de maximização e mitigação.;1;0;
Resultados;Engajamento e Parcerias para o Impacto -  inclui o engajamento de partes interessadas (stakeholders), como comunidades, ONGs ou órgãos governamentais, para maximizar o impacto positivo e garantir a aceitação do projeto;1;0;
Resultados;Total de Impactos;5;0;
Resultados;Indicadores;;;
Resultados;Cursos realizados ou recebido;1;0;
Resultados;Formaçao de recursos humanos;1;0;
Resultados;Produção de material didático (vídeo, cartilha, etc);1;0;
Resultados;Eventos organizados;1;0;
Resultados;Proteção Propriedade intelectual;1;0;
