Tema Principal;Requisitos Necessários;Presente;Ausente;
Origem do Conhecimento Base;Fonte de Conhecimento;;;
Origem do Conhecimento Base;Pesquisa científica prévia e literatura técnica especializada;1;0;
Origem do Conhecimento Base;Experiência prática da equipe;1;0;
Origem do Conhecimento Base;Patentes e propriedade intelectual;1;0;
Origem do Conhecimento Base;Consultoria/expertise externa;1;0;
Origem do Conhecimento Base;Parcerias com instituições de pesquisa;1;0;
Origem do Conhecimento Base;Total de Fonte de Conhecimento;5;0;
Origem do Conhecimento Base;Estado da Arte Tecnológica;;;
Origem do Conhecimento Base;Tecnologias concorrentes identificadas;1;0;
Origem do Conhecimento Base;Identificação das principais limitações das soluções existentes;1;0;
Origem do Conhecimento Base;Identificação de oportunidades de melhoria identificadas;1;0;
Origem do Conhecimento Base;Análise de tendências tecnológicas relevantes;1;0;
Origem do Conhecimento Base;Análise de patentes e propriedade intelectual ;1;0;
Origem do Conhecimento Base;Total de Estado da Arte Tecnológica;5;0;
Origem do Conhecimento Base;Total Geral da Origem do Conhecimento Base;10;0;
Caracterização do Desenvolvimento;Objetivo do Desenvolvimento;;;
Caracterização do Desenvolvimento;Problema específico identificado;1;0;
Caracterização do Desenvolvimento;Atender Demanda de mercado;1;0;
Caracterização do Desenvolvimento;Criar uma demanda no mercado;1;0;
Caracterização do Desenvolvimento;Urgência da solução;1;0;
Caracterização do Desenvolvimento;Impacto disruptivo;1;0;
Caracterização do Desenvolvimento;Total do Objetivo do Desenvolvimento;5;0;
Caracterização do Desenvolvimento; Problemas/Necessidades a Atender;;;
Caracterização do Desenvolvimento;Lacunas de Conhecimento Científico;1;0;
Caracterização do Desenvolvimento;Limitações Técnicas de Métodos Existentes;1;0;
Caracterização do Desenvolvimento;Desafios de Reprodutibilidade e Padronização;1;0;
Caracterização do Desenvolvimento;Escalabilidade e Aplicação Prática;1;0;
Caracterização do Desenvolvimento;Segurança e Impacto Ambiental;1;0;
Caracterização do Desenvolvimento;Total de Problemas/Necessidades a Atender;5;0;
Caracterização do Desenvolvimento;Total Geral da Caracterização do Desenvolvimento;10;0;
Sistematização do Trabalho;Etapas do Desenvolvimento;;;
Sistematização do Trabalho;Pesquisa básica e aplicada;1;0;
Sistematização do Trabalho;Especificação de requisitos;1;0;
Sistematização do Trabalho;Projeto conceitual;1;0;
Sistematização do Trabalho;Projeto detalhado;1;0;
Sistematização do Trabalho;Prototipagem;1;0;
Sistematização do Trabalho;Testes e validação;1;0;
Sistematização do Trabalho;Otimização;1;0;
Sistematização do Trabalho;Implementação piloto;1;0;
Sistematização do Trabalho;Transferência de tecnologia;1;0;
Sistematização do Trabalho;Escalonamento;1;0;
Sistematização do Trabalho;Total das Etapas do Desenvolvimento;10;0;
Sistematização do Trabalho;Ferramentas e Métodos Utilizados;;;
Sistematização do Trabalho;Ferramentas de Pesquisa e Desenvolvimento- Software de simulação, equipamentos de laboratório, plataformas de análise, sistemas de modelagem, instrumentos de medição;1;0;
Sistematização do Trabalho;Metodologias de Gestão de Projetos - Metodologias ágeis (Scrum, Kanban), gestão tradicional (PMI), lean development, stage-gate, design thinking;1;0;
